1,Lumina Riverside,5,US,Grand Rapids,"101 River Ave",6165550101,h1.jpg,"Lumina Grand",9
2,Verdant Garden,4,US,Grand Rapids,"202 Garden Ln",6165550202,h2.jpg,"Verdant Hearth",2
3,Stellar Boutique,3,US,Nashville,"303 Music Row",6155550303,h3.jpg,"Lumina Grand",3
4,Velo Express,3,US,Nashville,"404 Highway Dr",6155550404,h4.jpg,"Velo Inns",4
5,Azure Peak,5,CA,Fox Creek,"505 Mountain Pass",4995550505,h5.jpg,"Azure Horizon",5
6,Iron Gate Inn,4,US,Shreveport,"606 Steel St",3185550606,h6.jpg,"Avenue & Iron",6
7,Lumina Coastal,5,US,Fort Lauderdale,"707 Beach Blvd",9545550707,h7.jpg,"Lumina Grand",7
8,Verdant Timber,4,US,Grand Rapids,"808 Forest Rd",6165550808,h8.jpg,"Verdant Hearth",8
9,Whispering Willow,3,US,Grand Rapids,163 Grand Rapids Blvd,8095550009,h9.jpg,Lumina Grand,41
10,Moss & Amber,4,US,Grand Rapids,170 Grand Rapids Blvd,8105550010,h10.jpg,Verdant Hearth,10
11,The Rooted Haven,5,US,Nashville,177 Nashville Blvd,8115550011,h11.jpg,Lumina Grand,11
12,Fern Valley Retreat,3,US,Nashville,184 Nashville Blvd,8125550012,h12.jpg,Verdant Hearth,12
13,Sylvan Hearth,4,CA,Fox Creek,191 Fox Creek Blvd,8135550013,h13.jpg,Verdant Hearth,13
14,Bloom & Bark,5,US,Shreveport,198 Shreveport Blvd,8145550014,h14.jpg,Verdant Hearth,14
15,The Verdant Grove,3,US,Fort Lauderdale,205 Fort Lauderdale Blvd,8155550015,h15.jpg,Verdant Hearth,15
16,Emerald Glade,4,CA,Toronto,212 Toronto Blvd,8165550016,h16.jpg,Verdant Hearth,16
17,The Cobalt Forge,3,US,Grand Rapids,219 Grand Rapids Blvd,8175550017,h17.jpg,Lumina Grand,17
18,Urban Anvil,4,US,Grand Rapids,226 Grand Rapids Blvd,8185550018,h18.jpg,Avenue & Iron,18
19,Steel Pulse Suites,5,US,Nashville,233 Nashville Blvd,8195550019,h19.jpg,Avenue & Iron,19
20,The Iron Ledger,3,US,Nashville,240 Nashville Blvd,8205550020,h20.jpg,Avenue & Iron,20
21,Industrial Grace,4,CA,Fox Creek,247 Fox Creek Blvd,8215550021,h21.jpg,Avenue & Iron,21
22,Metropolitan Foundry,5,US,Shreveport,254 Shreveport Blvd,8225550022,h22.jpg,Avenue & Iron,22
23,The Gear & Gavel,3,US,Fort Lauderdale,261 Fort Lauderdale Blvd,8235550023,h23.jpg,Avenue & Iron,23
24,Riveted Manor,4,CA,Toronto,268 Toronto Blvd,8245550024,h24.jpg,Avenue & Iron,24
25,Sapphire Mist,3,US,Grand Rapids,275 Grand Rapids Blvd,8255550025,h25.jpg,Lumina Grand,25
26,Tidal Ether,4,US,Grand Rapids,282 Grand Rapids Blvd,8265550026,h26.jpg,Azure Horizon,26
27,The Cerulean Edge,5,US,Nashville,289 Nashville Blvd,8275550027,h27.jpg,Azure Horizon,27
28,Indigo Skyline,3,US,Nashville,296 Nashville Blvd,8285550028,h28.jpg,Azure Horizon,28
29,Azure Drift,4,CA,Fox Creek,303 Fox Creek Blvd,8295550029,h29.jpg,Azure Horizon,29
30,Oceanic Pulse,5,US,Shreveport,310 Shreveport Blvd,8305550030,h30.jpg,Azure Horizon,30
31,The Floating Horizon,3,US,Fort Lauderdale,317 Fort Lauderdale Blvd,8315550031,h31.jpg,Azure Horizon,31
32,Ultramarine Stay,4,CA,Toronto,324 Toronto Blvd,8325550032,h32.jpg,Azure Horizon,32
33,Skylight Roam,3,US,Grand Rapids,331 Grand Rapids Blvd,8335550033,h33.jpg,Lumina Grand,33
34,The Nomad Pulse,4,US,Grand Rapids,338 Grand Rapids Blvd,8345550034,h34.jpg,Velo Inns,34
35,Velocity Suites,5,US,Nashville,345 Nashville Blvd,8355550035,h35.jpg,Velo Inns,35
36,The Rolling Spoke,3,US,Nashville,352 Nashville Blvd,8365550036,h36.jpg,Velo Inns,36
37,Momentum Lodge,4,CA,Fox Creek,359 Fox Creek Blvd,8375550037,h37.jpg,Velo Inns,37
38,Pathfinder Inn,5,US,Shreveport,366 Shreveport Blvd,8385550038,h38.jpg,Velo Inns,38
39,The Wandering Wheel,3,US,Fort Lauderdale,373 Fort Lauderdale Blvd,8395550039,h39.jpg,Velo Inns,39
40,Circuit House,4,CA,Toronto,380 Toronto Blvd,8405550040,h40.jpg,Velo Inns,40
